order_id,customer,product,quantity,unit_price,order_date
101,Customer_1,Tablet,1.0,-50.0,2024-07-26
102,Customer_19,Mouse,5.0,49.99,2024-08-15
103,Customer_15,Keyboard,-1.0,299.99,2024-08-26
104,Customer_6,Keyboard,,49.99,2024-09-22
105,Customer_20,Tablet,,999.99,2024-04-22
106,Customer_10,Phone,-1.0,-50.0,2024-01-02
107,Customer_8,Monitor,3.0,999.99,2024-02-15
108,Customer_14,Keyboard,3.0,-50.0,2024-12-23
109,Customer_13,Monitor,2.0,-50.0,2024-03-21
110,Customer_1,Laptop,2.0,-50.0,2024-03-26
111,Customer_17,Monitor,,299.99,2024-04-28
112,Customer_4,Monitor,-1.0,999.99,2024-08-22
113,Customer_17,Mouse,3.0,49.99,2024-08-20
114,Customer_17,Monitor,3.0,99.99,2024-03-24
115,Customer_16,Monitor,1.0,999.99,2024-04-27
116,Customer_9,Mouse,2.0,599.99,2024-04-09
117,Customer_15,Laptop,5.0,49.99,2024-04-09
118,Customer_11,Tablet,3.0,,2024-03-05
119,Customer_8,Monitor,5.0,-50.0,2024-12-07
120,Customer_3,Monitor,2.0,49.99,2024-09-15
121,Customer_14,Laptop,-1.0,999.99,2024-07-13
122,Customer_19,Keyboard,,999.99,2024-10-13
123,Customer_16,Laptop,1.0,49.99,2024-07-28
124,Customer_14,Mouse,5.0,599.99,2024-09-26
125,Customer_20,Phone,2.0,-50.0,2024-05-14
126,Customer_16,Laptop,2.0,49.99,2024-11-22
127,Customer_13,Keyboard,-1.0,999.99,2024-08-05
128,Customer_20,Mouse,,99.99,2024-10-19
129,Customer_1,Laptop,5.0,99.99,2024-03-28
130,Customer_15,Phone,,49.99,2024-07-11
131,Customer_7,Monitor,1.0,49.99,2024-07-09
132,Customer_14,Tablet,,99.99,2024-01-24
133,Customer_18,Laptop,1.0,-50.0,2024-11-03
134,Customer_2,Laptop,-1.0,-50.0,2024-01-20
135,Customer_5,Phone,-1.0,99.99,2024-11-04
136,Customer_19,Phone,2.0,599.99,2024-05-25
137,Customer_12,Phone,3.0,299.99,2024-12-23
138,Customer_4,Phone,1.0,,2024-10-01
139,Customer_10,Mouse,5.0,99.99,2024-07-23
140,Customer_7,Laptop,3.0,599.99,2024-11-08
141,Customer_4,Keyboard,1.0,999.99,2024-11-20
142,Customer_4,Mouse,,49.99,2024-09-14
143,Customer_12,Laptop,3.0,599.99,2024-06-01
144,Customer_14,Monitor,,99.99,2024-06-21
145,Customer_15,Keyboard,-1.0,99.99,2024-03-24
146,Customer_17,Keyboard,1.0,299.99,2024-09-25
147,Customer_16,Monitor,2.0,999.99,2024-12-19
148,Customer_9,Tablet,-1.0,999.99,2024-02-09
149,Customer_15,Phone,2.0,299.99,2024-10-22
150,Customer_13,Tablet,,99.99,2024-06-06
151,Customer_16,Phone,1.0,999.99,2024-05-11
152,Customer_9,Mouse,5.0,49.99,2024-09-01
153,Customer_17,Phone,,-50.0,2024-12-14
154,Customer_16,Mouse,-1.0,599.99,2024-08-21
155,Customer_16,Monitor,,,2024-05-08
156,Customer_13,Keyboard,-1.0,49.99,2024-11-19
157,Customer_12,Monitor,3.0,299.99,2024-06-14
158,Customer_18,Tablet,1.0,599.99,2024-08-09
159,Customer_10,Tablet,-1.0,,2024-12-07
160,Customer_11,Laptop,5.0,299.99,2024-12-06
161,Customer_7,Phone,5.0,99.99,2024-05-24
162,Customer_19,Mouse,3.0,49.99,2024-02-27
163,Customer_7,Tablet,-1.0,49.99,2024-03-10
164,Customer_1,Keyboard,3.0,-50.0,2024-05-02
165,Customer_2,Mouse,1.0,599.99,2024-03-21
166,Customer_16,Laptop,,299.99,2024-05-16
167,Customer_16,Monitor,1.0,-50.0,2024-01-09
168,Customer_16,Laptop,,99.99,2024-08-03
169,Customer_19,Keyboard,5.0,,2024-03-05
170,Customer_19,Tablet,,-50.0,2024-02-18
171,Customer_14,Mouse,3.0,999.99,2024-10-08
172,Customer_17,Monitor,2.0,99.99,2024-05-28
173,Customer_19,Monitor,1.0,299.99,2024-10-02
174,Customer_20,Keyboard,,999.99,2024-04-21
175,Customer_7,Tablet,5.0,,2024-03-08
176,Customer_6,Mouse,,-50.0,2024-01-14
177,Customer_15,Keyboard,3.0,99.99,2024-05-02
178,Customer_8,Tablet,5.0,49.99,2024-12-28
179,Customer_15,Laptop,5.0,-50.0,2024-05-26
180,Customer_19,Keyboard,-1.0,99.99,2024-02-18
181,Customer_8,Keyboard,-1.0,49.99,2024-03-03
182,Customer_2,Phone,1.0,299.99,2024-12-27
183,Customer_19,Tablet,2.0,,2024-08-23
184,Customer_10,Keyboard,2.0,49.99,2024-09-18
185,Customer_16,Monitor,,299.99,2024-01-14
186,Customer_11,Mouse,1.0,,2024-02-08
187,Customer_19,Mouse,,999.99,2024-11-27
188,Customer_9,Mouse,,999.99,2024-03-16
189,Customer_17,Keyboard,2.0,49.99,2024-03-19
190,Customer_14,Keyboard,2.0,,2024-08-12
191,Customer_14,Tablet,1.0,599.99,2024-02-28
192,Customer_6,Tablet,2.0,599.99,2024-08-10
193,Customer_13,Mouse,,99.99,2024-02-11
194,Customer_9,Tablet,,999.99,2024-07-28
195,Customer_17,Laptop,5.0,999.99,2024-09-15
196,Customer_14,Laptop,-1.0,299.99,2024-06-20
197,Customer_16,Keyboard,2.0,999.99,2024-01-07
198,Customer_9,Mouse,-1.0,49.99,2024-08-23
199,Customer_16,Laptop,,599.99,2024-10-26
200,Customer_8,Keyboard,-1.0,49.99,2024-09-01
